                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.24722,                0.79558,                0.88045,                      1,                      1,                  0.995,                  0.995,                0.18963,                0.43157,                0.68327,             0.00057205,             0.00057205,             0.00057205
                     51,                0.26722,                0.68745,                0.87772,                      1,                    0.9,                  0.946,                  0.946,                0.14334,                0.42921,                0.66796,             0.00056105,             0.00056105,             0.00056105
                     52,                0.22154,                0.52467,                0.85431,                0.93333,                      1,                  0.995,                  0.995,                0.14805,                0.43759,                0.66879,             0.00055006,             0.00055006,             0.00055006
                     53,                 0.2259,                0.50198,                0.81783,                0.93333,                      1,                  0.995,                  0.995,                0.14818,                0.48391,                0.66714,             0.00053906,             0.00053906,             0.00053906
                     54,                0.22654,                0.50066,                 0.8477,                      1,                      1,                  0.995,                  0.995,                0.12519,                0.30675,                0.66099,             0.00052806,             0.00052806,             0.00052806
                     55,                0.23224,                0.49315,                0.84947,                      1,                      1,                  0.995,                  0.995,                0.15288,                0.39333,                0.67038,             0.00051706,             0.00051706,             0.00051706
                     56,                0.25519,                0.52782,                0.86669,                      1,                      1,                  0.995,                  0.995,                0.14643,                0.35667,                0.66917,             0.00050606,             0.00050606,             0.00050606
                     57,                  0.243,                 0.5855,                0.85293,                      1,                      1,                  0.995,                  0.995,                0.13843,                0.32442,                0.66581,             0.00049506,             0.00049506,             0.00049506
                     58,                 0.2291,                0.48958,                0.84585,                      1,                      1,                  0.995,                  0.995,                0.12736,                0.32284,                0.66348,             0.00048406,             0.00048406,             0.00048406
                     59,                0.23279,                0.57316,                0.86002,                      1,                      1,                  0.995,                  0.995,                0.14495,                0.33874,                0.66738,             0.00047306,             0.00047306,             0.00047306
                     60,                  0.246,                0.54946,                0.84901,                      1,                      1,                  0.995,                  0.995,                0.12693,                0.33924,                0.66309,             0.00046206,             0.00046206,             0.00046206
                     61,                0.21949,                 0.5206,                0.84538,                      1,                      1,                  0.995,                  0.995,                0.15093,                0.34746,                0.66664,             0.00045107,             0.00045107,             0.00045107
                     62,                0.23856,                0.49539,                0.84551,                      1,                      1,                  0.995,                  0.995,                0.17269,                 0.3428,                0.67017,             0.00044007,             0.00044007,             0.00044007
                     63,                0.20485,                0.47183,                0.87657,                      1,                      1,                  0.995,                  0.995,                 0.1541,                0.31395,                0.66959,             0.00042907,             0.00042907,             0.00042907
                     64,                0.21495,                0.46037,                0.83135,                      1,                      1,                  0.995,                  0.995,                0.12436,                0.31567,                0.66712,             0.00041807,             0.00041807,             0.00041807
                     65,                 0.2352,                 0.4966,                0.84479,                      1,                      1,                  0.995,                  0.995,                0.11538,                0.31446,                0.66332,             0.00040707,             0.00040707,             0.00040707
